slot	arc	load	sat	lb	source	proven	demands
0	1011	0.040724	1.2875118558330699e-05	0.040724	sink-dom	false	1
1	1011	0.033579	1.0616187164084728e-05	0.033579	sink-dom	false	1
2	1011	0.033579	1.0616187164084728e-05	0.033579	sink-dom	false	1
3	1011	0.033579	1.0616187164084728e-05	0.033579	sink-dom	false	1
4	1011	0.033579	1.0616187164084728e-05	0.033579	sink-dom	false	1
5	1011	0.033579	1.0616187164084728e-05	0.033579	sink-dom	false	1
6	1011	0.033579	1.0616187164084728e-05	0.033579	sink-dom	false	1
1	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
2	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
3	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
4	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
5	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
6	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
7	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
8	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
9	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
10	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
11	441	0.01679	8.099372889532079e-06	0.01679	sink-dom	false	1
0	1010	0.117742	7.98250847457627e-06	0.117742	sink-dom	false	1
5	1010	0.117528	7.967999999999999e-06	0.117528	sink-dom	false	1
10	1010	0.117528	7.967999999999999e-06	0.117528	sink-dom	false	1
1	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
2	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
3	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
4	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
5	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
6	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
7	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
8	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
9	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
10	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
11	1063	0.01679	7.478841870824053e-06	0.01679	sink-dom	false	1
1	1010	0.100738	6.829694915254237e-06	0.100738	sink-dom	false	1
4	1010	0.100738	6.829694915254237e-06	0.100738	sink-dom	false	1
6	1010	0.100738	6.829694915254237e-06	0.100738	sink-dom	false	1
8	1010	0.100738	6.829694915254237e-06	0.100738	sink-dom	false	1
9	1010	0.100738	6.829694915254237e-06	0.100738	sink-dom	false	1
11	1010	0.100738	6.829694915254237e-06	0.100738	sink-dom	false	1
0	441	0.013546	6.53449107573565e-06	0.013546	sink-dom	false	1
2	1010	0.083949	5.691457627118644e-06	0.083949	sink-dom	false	1
3	1010	0.083949	5.691457627118644e-06	0.083949	sink-dom	false	1
7	1010	0.083949	5.691457627118644e-06	0.083949	sink-dom	false	1
0	1063	0.012508	5.571492204899777e-06	0.012508	sink-dom	false	1
0	1387	0.004742	2.222118088097469e-06	0.004742	sink-dom	false	1
1	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
2	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
3	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
4	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
5	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
6	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
7	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
8	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
9	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
10	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
11	1327	0.01679	1.6263076327005036e-06	0.01679	sink-dom	false	1
0	1327	0.006946	6.728012398295234e-07	0.006946	sink-dom	false	1
0	213	0.006198	6.307754935884389e-07	0.006198	sink-dom	false	1
0	1459	0.001748	4.717948717948718e-07	0.001748	sink-dom	false	1
0	1113	0.000926	4.415832141154029e-07	0.000926	sink-dom	false	1
0	444	0.000494	3.2693580410324285e-07	0.000494	sink-dom	false	1
0	816	0.001163	1.1913542306904323e-07	0.001163	sink-dom	false	1
0	1234	7e-05	3.5105315947843527e-08	7e-05	sink-dom	false	1
0	720	3.6e-05	1.7484215638659545e-08	3.6e-05	sink-dom	false	1
